metric,target,actual,achievement,period
code_review_turnaround_hours,24,18,125%,Annual
bug_fix_resolution_days,3,2.1,143%,Annual
feature_delivery_velocity,8,10.2,128%,Annual
code_coverage_percentage,85,92,108%,Annual
performance_score_improvement,10,45,450%,Annual
mentorship_satisfaction_score,4.0,4.7,118%,Annual
technical_debt_reduction,20,28,140%,Annual
cross_team_collaboration_rating,4.0,4.5,113%,Annual
innovation_contributions,2,5,250%,Annual
knowledge_sharing_sessions,4,6,150%,Annual
accessibility_compliance_score,80,95,119%,Annual
mobile_performance_improvement,25,85,340%,Annual
user_satisfaction_rating,4.2,4.6,110%,Annual
security_vulnerability_fixes,5,8,160%,Annual
documentation_completeness,70,88,126%,Annual