account_id,company_name,health_score,previous_score,change,tier,arr,last_login,usage_trend,csm_assigned
ACC-1001,GlobalTech Corp,92,88,+4,Enterprise,450000,2024-11-21,Increasing,Sarah Kim
ACC-1002,Manufacturing Solutions,87,89,-2,Enterprise,380000,2024-11-20,Stable,Sarah Kim
ACC-1003,HealthSystem Ltd,91,85,+6,Enterprise,320000,2024-11-22,Increasing,Mike Torres
ACC-1004,RetailChain Group,88,86,+2,Enterprise,290000,2024-11-19,Increasing,Sarah Kim
ACC-1005,FinanceFirst Inc,85,82,+3,Enterprise,275000,2024-11-21,Stable,Elena Rodriguez
ACC-1006,TechStartup Beta,76,80,-4,Mid-Market,125000,2024-11-18,Decreasing,Mike Torres
ACC-1007,ConsultingPro LLC,89,88,+1,Mid-Market,98000,2024-11-22,Stable,Elena Rodriguez
ACC-1008,SmallBiz Solutions,72,75,-3,SMB,45000,2024-11-15,Decreasing,Auto-CS
ACC-1009,CreativeAgency Co,83,81,+2,Mid-Market,67000,2024-11-21,Increasing,Mike Torres
ACC-1010,LogisticsMaster,90,87,+3,Enterprise,210000,2024-11-20,Increasing,Sarah Kim
ACC-1011,DataAnalytics Pro,78,82,-4,Mid-Market,89000,2024-11-17,Decreasing,Elena Rodriguez
ACC-1012,CloudSystems Inc,86,84,+2,Enterprise,195000,2024-11-22,Stable,Mike Torres
ACC-1013,AutomationFlow,91,90,+1,Mid-Market,112000,2024-11-21,Increasing,Elena Rodriguez
ACC-1014,ProcessOptima,74,78,-4,SMB,38000,2024-11-14,Decreasing,Auto-CS
ACC-1015,WorkflowMasters,88,85,+3,Mid-Market,95000,2024-11-20,Increasing,Mike Torres
ACC-1016,DigitalTrans LLC,85,86,-1,Mid-Market,73000,2024-11-19,Stable,Elena Rodriguez
ACC-1017,EfficiencyExperts,82,79,+3,SMB,52000,2024-11-21,Increasing,Auto-CS
ACC-1018,ScaleUp Ventures,87,83,+4,Mid-Market,156000,2024-11-22,Increasing,Sarah Kim
ACC-1019,InnovationHub,79,81,-2,SMB,41000,2024-11-18,Stable,Auto-CS
ACC-1020,GrowthPartners,93,91,+2,Enterprise,340000,2024-11-22,Increasing,Sarah Kim