Region,Product,Revenue,Units,Customers,Quarter
North,Product A,1100000,4800,380,Q1 2025
North,Product B,820000,3280,280,Q1 2025
North,Product C,480000,1920,160,Q1 2025
South,Product A,920000,3840,320,Q1 2025
South,Product B,1200000,4800,410,Q1 2025
South,Product C,600000,2400,200,Q1 2025
East,Product A,1000000,4200,350,Q1 2025
East,Product B,720000,2880,240,Q1 2025
East,Product C,400000,1600,130,Q1 2025
West,Product A,1300000,5400,460,Q1 2025
West,Product B,900000,3600,300,Q1 2025
West,Product C,660000,2640,220,Q1 2025
North,Product A,980000,4400,350,Q4 2024
North,Product B,740000,3000,260,Q4 2024
North,Product C,420000,1700,140,Q4 2024
South,Product A,850000,3600,300,Q4 2024
South,Product B,1050000,4300,380,Q4 2024
South,Product C,520000,2100,180,Q4 2024
East,Product A,930000,3900,330,Q4 2024
East,Product B,650000,2600,220,Q4 2024
East,Product C,350000,1400,120,Q4 2024
West,Product A,1150000,4800,410,Q4 2024
West,Product B,820000,3300,280,Q4 2024
West,Product C,580000,2350,200,Q4 2024